geoid,geo_level,county_name,state,trnd_afreq,trnd_hlrb,trnd_eal_rate,trnd_risk_rating
01001,county,Autauga,Alabama,0.5112289752250122,0.00028048551351345503,0.000143392,Relatively Moderate
01003,county,Baldwin,Alabama,1.344202791424724,6.134908223270015e-05,8.2466e-05,Relatively High
01005,county,Barbour,Alabama,0.796573884316119,0.00016231829040282532,0.000129299,Relatively Moderate
01007,county,Bibb,Alabama,0.6002962457909103,0.00046289626420112595,0.000277875,Relatively Moderate
01009,county,Blount,Alabama,0.7179990656809614,0.00042358184390839577,0.000304131,Relatively High
01011,county,Bullock,Alabama,0.5808771323085052,0.00024035252661787744,0.000139615,Relatively Low
01013,county,Butler,Alabama,0.5975600462252653,0.00015362540646413002,9.18e-05,Relatively Moderate
01015,county,Calhoun,Alabama,0.5260717243102129,0.0005481919746184933,0.000288388,Relatively High
01017,county,Chambers,Alabama,0.4674552582041448,0.00029751796102409506,0.000139076,Relatively Moderate
01019,county,Cherokee,Alabama,0.4777801092974082,0.0003633596585170704,0.000173606,Relatively Moderate
01021,county,Chilton,Alabama,0.6423437029488729,0.0003919568696529371,0.000251771,Relatively Moderate
01023,county,Choctaw,Alabama,0.8019711852875839,0.000314158281089263,0.000251946,Relatively Moderate
01025,county,Clarke,Alabama,0.8205243459383147,0.0002123301077010093,0.000174222,Relatively Moderate
01027,county,Clay,Alabama,0.5022577335223645,0.0004662399071245128,0.000234173,Relatively Moderate
01029,county,Cleburne,Alabama,0.4377978426912342,0.0006091787092515522,0.000266697,Relatively Moderate
01031,county,Coffee,Alabama,0.6131956925794566,0.00023238394222309085,0.000142497,Relatively High
01033,county,Colbert,Alabama,0.5759348491578064,0.0002851405511417218,0.000164222,Relatively Moderate
01035,county,Conecuh,Alabama,0.6141093948949488,0.00029555422178967946,0.000181503,Relatively Low
01037,county,Coosa,Alabama,0.6053908756319729,0.00023743747425769804,0.000143742,Relatively Low
01039,county,Covington,Alabama,0.9426398264516834,0.000150213969380165,0.000141598,Relatively Moderate
01041,county,Crenshaw,Alabama,0.5154489375278775,0.00031734158807915385,0.000163573,Relatively Low
01043,county,Cullman,Alabama,0.8651734074282608,0.00026175573952761635,0.000226464,Relatively Moderate
01045,county,Dale,Alabama,0.49743395541924706,0.00024824455805199394,0.000123485,Relatively Moderate
01047,county,Dallas,Alabama,0.7608605234284862,0.00022168366374640948,0.00016867,Relatively Moderate
01049,county,DeKalb,Alabama,0.7020174592040875,9.765726538804583e-05,6.8557e-05,Relatively Moderate
01051,county,Elmore,Alabama,0.5538675707230037,0.0002303965157602312,0.000127609,Relatively Moderate
01053,county,Escambia,Alabama,0.686978890341265,0.00020981187971257607,0.000144136,Relatively Moderate
01055,county,Etowah,Alabama,0.527406681387225,0.0006818353308734478,0.000359605,Relatively High
01057,county,Fayette,Alabama,0.6856802497222872,0.00041067819387424266,0.000281594,Relatively Moderate
01059,county,Franklin,Alabama,0.6549750372736826,0.000436946978465438,0.000286189,Relatively High
01061,county,Geneva,Alabama,0.5146099513287175,0.00011199753469035888,5.7635e-05,Relatively Low
01063,county,Greene,Alabama,0.6148311651955761,0.00040820782365276557,0.000250979,Relatively Low
01065,county,Hale,Alabama,0.580894982803763,0.0004687704619371107,0.000272306,Relatively Moderate
01067,county,Henry,Alabama,0.493149695231947,0.00026677057261821375,0.000131558,Relatively Moderate
01069,county,Houston,Alabama,0.49672193368730594,0.00026224363895357034,0.000130262,Relatively High
01071,county,Jackson,Alabama,1.0615317533969661,0.00022878247246450222,0.00024286,Relatively High
01073,county,Jefferson,Alabama,1.1735099712709705,0.00018624342580346586,0.000218559,Very High
01075,county,Lamar,Alabama,0.5930383903888942,0.00030918268694664044,0.000183357,Relatively Low
01077,county,Lauderdale,Alabama,0.6505759595530288,0.00024399622842281583,0.000158738,Relatively High
01079,county,Lawrence,Alabama,0.7812817848923608,0.00017232341435923545,0.000134633,Relatively High
01081,county,Lee,Alabama,0.48804189722982066,7.85553361958491e-05,3.8338e-05,Relatively Moderate
01083,county,Limestone,Alabama,0.6189801087481587,0.00027794930824664044,0.000172045,Relatively Moderate
01085,county,Lowndes,Alabama,0.5974468927381623,0.0001871728949154733,0.000111826,Relatively Moderate
01087,county,Macon,Alabama,0.5160069764380142,0.0002617064596812967,0.000135042,Relatively Low
01089,county,Madison,Alabama,0.8724264367072682,0.00024064227238604184,0.000209943,Relatively High
01091,county,Marengo,Alabama,0.7084001541792844,0.0003701973307587023,0.000262248,Relatively Moderate
01093,county,Marion,Alabama,0.8037447094869888,0.00040116119891799224,0.000322431,Relatively High
01095,county,Marshall,Alabama,0.6573536648277203,0.0004949617478729634,0.000325365,Relatively High
01097,county,Mobile,Alabama,1.1735849552178164,2.9489905899446276e-05,3.4609e-05,Relatively High
01099,county,Monroe,Alabama,0.6658466939386712,0.00023401263617241807,0.000155817,Relatively Low
01101,county,Montgomery,Alabama,0.695794702759132,0.00015590433141166393,0.000108477,Relatively High
01103,county,Morgan,Alabama,0.6789791907865105,0.0004256243607755149,0.00028899,Relatively High
01105,county,Perry,Alabama,0.577659050330271,0.0003891098433508431,0.000224773,Relatively Low
01107,county,Pickens,Alabama,0.8907916533293608,0.00034702828093993455,0.00030913,Relatively Moderate
01109,county,Pike,Alabama,0.6087530883917233,0.00013397653675292792,8.1559e-05,Relatively Low
01111,county,Randolph,Alabama,0.4480665373861536,0.00044166897003244173,0.000197897,Relatively Low
01113,county,Russell,Alabama,0.5282718901711465,2.919587076876692e-05,1.5423e-05,Relatively Low
01115,county,St. Clair,Alabama,0.6406745113845983,0.0003919135559655473,0.000251089,Relatively High
01117,county,Shelby,Alabama,0.8068727239666098,0.00038417901660418966,0.000309984,Relatively High
01119,county,Sumter,Alabama,0.8552998609085527,0.0005207313580871698,0.000445381,Relatively Moderate
01121,county,Talladega,Alabama,0.7041711428071212,0.0003272905141152335,0.000230469,Relatively High
01123,county,Tallapoosa,Alabama,0.6323065778017305,0.00015652801863904814,9.8974e-05,Relatively Moderate
01125,county,Tuscaloosa,Alabama,1.3710046900702586,0.00015181302289028084,0.000208136,Relatively High
01127,county,Walker,Alabama,0.9121161441390966,0.0003531929087384782,0.000322153,Relatively High
01129,county,Washington,Alabama,0.8357769674844194,0.00022677139907638738,0.00018953,Relatively Moderate
01131,county,Wilcox,Alabama,0.6039853826426725,0.0002688885124091002,0.000162405,Relatively Low
01133,county,Winston,Alabama,0.7297952428162349,0.00026794711050605595,0.000195547,Relatively Moderate
02013,county,Aleutians East,Alaska,0.014433696377191827,4.392099872575096e-06,6.3e-08,Very Low
02016,county,Aleutians West,Alaska,4.596525860193954e-05,1.2032977057401751e-05,1e-09,Very Low
02020,county,Anchorage,Alaska,5.3996062081553e-07,9.690785266258157e-06,0.0,Very Low
02050,county,Bethel,Alaska,0.04820795949799764,2.921633937886868e-06,1.41e-07,Very Low
02060,county,Bristol Bay,Alaska,4.704373849879562e-06,0.00010967565686158487,1e-09,Very Low
02063,county,Chugach,Alaska,9.469687739620367e-06,6.011152831181612e-06,0.0,Very Low
02066,county,Copper River,Alaska,0.000167625089543491,2.388536973207958e-06,0.0,Very Low
02068,county,Denali,Alaska,0.0001182840370604561,4.181711135490056e-06,0.0,Very Low
02070,county,Dillingham,Alaska,2.906284255734594e-06,0.00010467369644249066,0.0,Very Low
02090,county,Fairbanks North Star,Alaska,1.700051998102159e-05,2.9215068628985944e-06,0.0,Very Low
02100,county,Haines,Alaska,8.432545595947146e-06,2.2560556092370862e-05,0.0,Very Low
02105,county,Hoonah-Angoon,Alaska,4.948731074726228e-05,8.063933681760196e-06,0.0,Very Low
02110,county,Juneau,Alaska,3.5414210124449664e-06,2.38821218524329e-05,0.0,Very Low
02122,county,Kenai Peninsula,Alaska,2.830126745142037e-05,3.630732629833717e-06,0.0,Very Low
02130,county,Ketchikan Gateway,Alaska,5.228708813740578e-06,1.088367161607004e-05,0.0,Very Low
02150,county,Kodiak Island,Alaska,1.8332691605182713e-05,7.90223574453023e-06,0.0,Very Low
02158,county,Kusilvak,Alaska,0.009411885708459421,1.743614680827958e-06,1.6e-08,Very Low
02164,county,Lake and Peninsula,Alaska,0.00036380543106169494,1.112175437088327e-05,4e-09,Very Low
